name,ring,quadrant,isNew,description
GitHub flow,assess,techniques,TRUE,"<a href=""https://guides.github.com/introduction/flow/"">GitHub flow</a> solves the problem of long-running feature branches, merge costs and big releases. Of course it brings at its own costs as it requires cutting edge engineering with mature <strong>Continuous Delivery</strong>, full-blown testing automation etc. The more complex system, the more investment it requires. For to get there, we have been assessing its potential and try to follow this trunk-based development approach where possible."
Lightweight Architecture Decision Records,assess,techniques,TRUE,"Keeping documentation close to code is always beneficial. Same is true for documenting architectural decisions that have long-term impact on the system/codebase. Be it in commit messages, changelogs or dedicated markdown pages - when it remains in the same code repository one can easily lookup the history for specific decisions. And understand the system better."
OWASP ASVS,assess,techniques,TRUE,"<strong>OWASP</strong> always brings <a href=""https://www.owasp.org/images/6/67/OWASPApplicationSecurityVerificationStandard3.0.pdf"">top security concerns in a distilled form</a> for each developer to learn by heart. This document is of no excuse. Not everyone developer is a security expert, but everyone should read at least minimum chunk, especially if provided on a golden plate by an esteemed party."
Anemic REST,hold,techniques,TRUE,"There are several stages at which designing REST can fail. Only few leverages its full potential. According to <a href=""https://martinfowler.com/articles/richardsonMaturityModel.html"">REST Maturity model</a> it is essential to shape API as resources upon which requests can act with proper verbs and data. And this is what we strive to achieve."
Gitflow,hold,techniques,TRUE,"In the early days of <strong>Git</strong> it lured its adopters to ease of branching model. Many of us followed and created lots of features branches. Then merging nightmares started. Together with heavy releases. We have been gradually abandoning fat-feature-branches technique towards more trunk-based development practices like <strong>GitHub flow</strong>."
Programming in CI/CD tool,hold,techniques,TRUE,"Tools like <a href=""https://www.jetbrains.com/teamcity/"">TeamCity</a> or <a href=""https://about.gitlab.com/"">GitLab CI</a> offer plenty of customization points. It is easy to make shortcuts and put automation script code directly into CI visual controls. But then we risk of loosing potential reuse and locking ourselves down in the CI product. Instead, we prefer standalone, reusable scripts that can be parameterized to run both locally and on CI servers as well."
.NET Core,adopt,platforms,TRUE,"We have created a bunch of microservices fuelled by .NET Core and at the same time the platform got matured enough with libraries and tooling etc. We see it as .NET default for any new projects."
AWS,adopt,platforms,TRUE,"It has been long time since <a href=""https://aws.amazon.com/"">Amazon Web Services</a> changed cloud services world. We make use of their services whenever it pays off."
Redis,adopt,platforms,TRUE,"Seeing <a href=""https://redis.io/"">Redis</a> in action as a distributed cache drives us into conclusion that it is generally good choice when distributed cache is needed. We can focus on how to solve <strong>this particular caching scenario</strong> instead of how to do it technically."
Azure,trial,platforms,TRUE,"Microsoft has matured its <a href=""https://azure.microsoft.com"">cloud services offering</a> and after assessing period we started considering it for our projects."
Docker,trial,platforms,TRUE,"Containerization paradigm shift led us to rethinking how we shape microservices. As for now we leverage <a href=""https://www.docker.com/"">Docker</a> in several projects to save on infrastructure maintenance and operations cost."
Elastic Search,trial,platforms,TRUE,"Full-text search engines bring us an option to offer advanced indexing and efficient querying. <a href=""https://www.elastic.co/products/elasticsearch"">ElasticSearch</a> is always a strong candidate in our considerations."
MariaDB,trial,platforms,TRUE,"We make heavy use of <strong>MySQL DB</strong>, but after it was forked as <a href=""https://mariadb.org/"">MariaDB</a> we started relying on that and upgraded production systems. We believe that open source community will continue putting heart and quality to it as through all the past years."
MongoDB,trial,platforms,TRUE,"<a href=""https://www.mongodb.com/"">MongoDB</a> got matured enough to be considered a strong option for <strong>NoSQL</strong> document systems. But still - we think carefully and apply it if and only if NoSQL approach is applicable in a given use case."
OpenID Connect,trial,platforms,TRUE,"Storing credentials on premises is risky. Many times it occurs it safe and cheap to rely on 3rd party identity management. The flagship <a href=""http://openid.net/connect/"">OpenID Connect</a> (a successor of <a href=""https://oauth.net/"">OAuth</a>) continues to focus our attention when such decoupling is justified."
General purpose computing on GPU,assess,platforms,TRUE,"Our recent research and development has been focusing on effectively train and use deep learning models. What traditional CPU would complete in days, we can get in minutes by making use of GPU and specialized libraries."
Kubernetes,assess,platforms,TRUE,"Entering containerization and microservices naturally led us towards exploration of container cluster managers. A solid pick is <a href=""https://kubernetes.io/"">Kubernetes</a> which started <a href=""https://blogs.dxc.technology/2017/11/01/for-cloud-container-orchestration-its-all-kubernetes-all-the-time/"">outperform its competition</a> recently."
Rancher,assess,platforms,TRUE,"For one project we made heavy use of <a href=""https://rancher.com/"">Rancher</a> which helped us harness microservices. Now it makes extensive use of <strong>Kubernetes</strong> foundation which places it in a good position the future."
C# 7.*,adopt,languages and frameworks,TRUE,"Since the advent of <strong>Roslyn</strong> and major C# compiler rework, everyone can observe a rapid pace of C# language development. It has embraced many little improvements released often. We welcome them early as C# design is generally backward compatible and upgrades are painless most of times."
Jasmine paired with Node.js,adopt,languages and frameworks,TRUE,"Testing JavaScript is not that easy if you couple client-side views with models. Thankfully, having <a href=""https://jasmine.github.io/"">Jasmine</a> onboard for automation we can save time to think and design carefully."
React.js,adopt,languages and frameworks,TRUE,"Many jumped onto the <a href=""https://reactjs.org/"">React</a> wagon and it just worked for them. Strong community, rich ecosystem of extensions, programming model and many front-end professionals who have already learnt it encourages us to follow."
SASS SCSS LESS,adopt,languages and frameworks,TRUE,"Nobody wants to repeat themselves. Especially if the goal is to tame the wilderness of CSS in big applications. <strong>CSS preprocessors</strong> keep our code clean and manageable."
Spring Boot,adopt,languages and frameworks,TRUE,"We often favour simplicity and convention over fully-fledged (but time consuming to configure) solutions when it comes to frameworks. That is why we so often consider <a href=""http://spring.io/projects/spring-boot"">Spring Boot</a> for our Java/Spring applications."
Typescript,adopt,languages and frameworks,TRUE,"We use <strong>TypeScript</strong> a lot since its early days. It greatly helps driving our front-ends towards both quality and deadlines. Here we add it purely for reference reasons."
Angular,trial,languages and frameworks,TRUE,"Having plethora of front-end framework choices we generally pick <a href=""https://angular.io/"">Angular</a> for enterprise applications if people are already familiar with Angular world and long-term support is of prime importance."
React Native,trial,languages and frameworks,TRUE,"Developing mobile in <a href=""https://facebook.github.io/react-native/"">React Native</a> allows us to stay JavaScript, make use of UI components and native code libraries easily."
GraphQL,assess,languages and frameworks,TRUE,"Making decision on how to expose enterprise data over the web channels is always hard (big consequences). Be it <strong>REST</strong>, <strong>OData</strong> or <a href=""https://graphql.org/learn/"">GraphQL</a> - each has its potential and pitfalls. And we need to know them when making judgement."
AngularJS,hold,languages and frameworks,TRUE,"Developing one project in <a href=""https://angularjs.org/"">AngularJS</a> we experienced its all limitations. Thankfully they have been addressed in subsequent versions of <strong>Angular family</strong>."
